//-----------------------------------------------------------------------------------------------------------------
//->>  MSPro - MuServerPro Team - Desarrollos de MUOnline
//->>  Web: wwww.muserverpro.com 
//->>  FB: @mspromu
//->>  2020 -2023 MuServerPro Team
//-----------------------------------------------------------------------------------------------------------------
//---------------------------------------------------------------------------------
// Information
//---------------------------------------------------------------------------------
//		ON/OFF	Annouce	ON/OFF		
//	Debug 	Enable	AllMap	BlockAccess
//---------------------------------------------------------------------------------
0
	0		0		1		1	
end

1
//---------------------------------------------------------------------------------
// Settings
//-------------------------------------------------------------------------------------------------------------------------------
// Ferea Orb 		Ferea Orb 	 Lord Of Ferea	  Lord Of Ferea	 Lord Of Ferea				Enter Event
// Regen Life Rate  Refill Life  Regen Lfe Rate	  Refill Life	 Min Life for Invoke Army	Revitalization Event Time(Minutes)
// (0 - 100%)		(Seconds)	 (0 - 100%)		  (Seconds)		 (0 - 100%)					(Minutes)	
//--------------------------------------------------------------------------------------------------------------------------------
   05	            5	         05	              5            	 60		                    4320
end

//---------------------------------------------------------------------------------
// Boss Spawn Coords
//	Dir:	-> -1 Random / 0-8 Pos
//---------------------------------------------------------------------------------
//	X	Y	X2	Y2	Dir
//---------------------------------------------------------------------------------
2
	26	122	28	124	3
end
//---------------------------------------------------------------------------------
// Ferea General Spawn Coords
//	Dir:	-> -1 Random / 0-8 Pos
//---------------------------------------------------------------------------------
//	X	Y	X2	Y2	Dir
//---------------------------------------------------------------------------------
3
	29	116	38	130	3
end
//---------------------------------------------------------------------------------
// Boss Area Zone
//	Group	Monster	Count	X	Y	X2	Y2	Dir
//---------------------------------------------------------------------------------
4						
	0		736		5		25	113	37	136	1
	0		737		6		25	113	37	136	2
	0		738		7		25	113	37	136	3
			
	1		736		5		25	113	37	136	1
	1		737		6		25	113	37	136	3
	1		738		7		25	113	37	136	3
			
	2		736		6		25	113	37	136	2
	2		737		7		25	113	37	136	2
	2		738		8		25	113	37	136	3
			
	3		736		8		25	113	37	136	3
	3		737		9		25	113	37	136	2
	3		738		10		25	113	37	136	3
end
//--------------------------------------------------------------------------------------------------------------------
// Attack Settings.
//	SkillID	Rate	Time
//--------------------------------------------------------------------------------------------------------------------
5
	56	85	2	// Power Slash
	14	60	3	// Inferno
	221	40	4	// Weakness
end
