//----------------------------------------------------------------------------------------------------------------
//->>  MSPro - MuServerPro Team - Desarrollos de MUOnline
//->>  Web: wwww.muserverpro.com
//->>  FB: @mspromu
//->>  2020 - 2023 MuServerPro Team
//----------------------------------------------------------------------------------------------------------------

0
//-----------------------------------------------------------------------------------------------------------
// [Max 20 Char]     [0~2000000000] [0~100] 	   [1~255] 		   [0~10000]         [0-1]          [0-1]  
// EventName         DropZen   		ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks
//-----------------------------------------------------------------------------------------------------------
"Kundun"             100            100            2               9500              1              0
end

1
//----------------------------------------------------------------------------------
// [0~15]    [0~511][0~15]	   [0~15]     [0~1]   [0~1]  [0~7]    [0~6] 
// Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent  Comment
//----------------------------------------------------------------------------------
  7          29     0          4          0       1      1        0 		 // Dragon Knight Helm
  8          29     0          4          0       1      1        0 		 // Dragon Knight Armor
  9          29     0          4          0       1      1        0 		 // Dragon Knight Pants
  10         29     0          4          0       1      1        0 		 // Dragon Knight Gloves
  11         29     0          4          0       1      1        0 		 // Dragon Knight Boots
//
  7          30     0          4          0       1      1        0 		 // Venom Mist Helm
  8          30     0          4          0       1      1        0 		 // Venom Mist Armor
  9          30     0          4          0       1      1        0 		 // Venom Mist Pants
  10         30     0          4          0       1      1        0 		 // Venom Mist Gloves
  11         30     0          4          0       1      1        0 		 // Venom Mist Boots
//
  7          31     0          4          0       1      1        0 		 // Sunlight Helm
  8          31     0          4          0       1      1        0 		 // Sunlight Armor
  9          31     0          4          0       1      1        0 		 // Sunlight Pants
  10         31     0          4          0       1      1        0 		 // Sunlight Gloves
  11         31     0          4          0       1      1        0 		 // Sunlight Boots
//
  8          31     0          4          0       1      1        0 		 // Volcano Armor
  9          31     0          4          0       1      1        0 		 // Volcano Pants
  10         31     0          4          0       1      1        0 		 // Volcano Gloves
  11         31     0          4          0       1      1        0 		 // Volcano Boots
//
  7          31     0          4          0       1      1        0 		 // Sylphid Ray Helm
  8          31     0          4          0       1      1        0 		 // Sylphid Ray Armor
  9          31     0          4          0       1      1        0 		 // Sylphid Ray Pants
  10         31     0          4          0       1      1        0 		 // Sylphid Ray Gloves
  11         31     0          4          0       1      1        0 		 // Sylphid Ray Boots
//
  7          29     0          4          0       1      0        0 	     // Dragon Knight Helm
  8          29     0          4          0       1      0        0 	     // Dragon Knight Armor
  9          29     0          4          0       1      0        0 	     // Dragon Knight Pants
  10         29     0          4          0       1      0        0 	     // Dragon Knight Gloves
  11         29     0          4          0       1      0        0 	     // Dragon Knight Boots
//
  7          30      0         4          0       1      0        0          // Venom Mist Helm
  8          30      0         4          0       1      0        0          // Venom Mist Armor
  9          30      0         4          0       1      0        0          // Venom Mist Pants
  10         30      0         4          0       1      0        0          // Venom Mist Gloves
  11         30      0         4          0       1      0        0          // Venom Mist Boots
//                                                                          
  7          31      0         4          0       1      0        0          // Sunlight Helm
  8          31      0         4          0       1      0        0          // Sunlight Armor
  9          31      0         4          0       1      0        0          // Sunlight Pants
  10         31      0         4          0       1      0        0          // Sunlight Gloves
  11         31      0         4          0       1      0        0          // Sunlight Boots
//                                                                            
  8          31      0         4          0       1      0        0	    	 // Volcano Armor
  9          31      0         4          0       1      0        0	    	 // Volcano Pants
  10         31      0         4          0       1      0        0	    	 // Volcano Gloves
  11         31      0         4          0       1      0        0	    	 // Volcano Boots
//                                                                           
  7          31      0         4          0       1      0        0 		 // Sylphid Ray Helm
  8          31      0         4          0       1      0        0 		 // Sylphid Ray Armor
  9          31      0         4          0       1      0        0 		 // Sylphid Ray Pants
