//----------------------------------------------------------------------------------------------------------------
//->>  MSPro - MuServerPro Team - Desarrollos de MUOnline
//->>  Web: wwww.muserverpro.com
//->>  FB: @mspromu
//->>  2020 - 2023 MuServerPro Team
//----------------------------------------------------------------------------------------------------------------

0
//-----------------------------------------------------------------------------------------------------------
// [Max 20 Char]     [0~2000000000] [0~100] 	   [1~255] 		   [0~10000]         [0-1]          [0-1]  
// EventName         DropZen   		ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks
//-----------------------------------------------------------------------------------------------------------	
"Senior Mix"		 1000	   		100		 	   1		  	   0		    	 0		   	    1
end

1
//----------------------------------------------------------------------------------
// [0~15]    [0~511][0~15]	   [0~15]     [0~1]   [0~1]  [0~7]    [0~6] 
// Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent  Comment
//----------------------------------------------------------------------------------
//
   0         20     0          0          1       1      0        1          //
   0         21     0          0          1       1      0        1          //
   0         16     0          0          1       1      0        1          //
   0         31     0          0          1       1      0        1          //
   0         20     0          0          1       1      0        0          // 
   0         21     0          0          1       1      0        0          // 
//                                                                          
   2         11     0          0          1       1      0        1          //
//                                                                          
   3         12     0          0          1       1      0        1          //
   3         10     0          0          1       1      0        1          //
   3         12     0          0          1       1      0        0          //
//                                                                          
   4         20     0          0          1       1      0        1          //
   4         19     0          0          1       1      0        1          //
   4         20     0          0          1       1      0        0          //
//                                                                          
   5         6      0          0          1       1      0        1          //
   5         9      0          0          1       1      0        1          //
   5         11     0          0          1       1      0        0          //
//                                                                          
   8         21     0          0          0       1      0        0          //
   8         24     0          0          0       1      0        0          //
   8         22     0          0          0       1      0        0          //
   8         28     0          0          0       1      0        0          //
   8         23     0          0          0       1      0        0          //
//                                                                          
   7         21     0          0          0       1      0        1          //
   8         21     0          0          0       1      0        1          //
   9         21     0          0          0       1      0        1          //
   10        21     0          0          0       1      0        1          //
   11        21     0          0          0       1      0        1          //
//                                                                          
   7         24     0          0          0       1      0        1          //
   8         24     0          0          0       1      0        1          //
   9         24     0          0          0       1      0        1          //
   10        24     0          0          0       1      0        1          //
   11        24     0          0          0       1      0        1          //
//                                                                          
   7         22     0          0          0       1      0        1          //
   8         22     0          0          0       1      0        1          //
   9         22     0          0          0       1      0        1          //
   10        22     0          0          0       1      0        1          //
   11        22     0          0          0       1      0        1          //
//                                                                          
   7         28     0          0          0       1      0        1          //
   8         28     0          0          0       1      0        1          //
   9         28     0          0          0       1      0        1          //
   10        28     0          0          0       1      0        1          //
   11        28     0          0          0       1      0        1          //
//                                                                          
   8         23     0          0          0       1      0        1          //
   9         23     0          0          0       1      0        1          //
   10        23     0          0          0       1      0        1          //
   11        23     0          0          0       1      0        1          //
end
