//--------------------------------
//
//--------------------------------
//Access Part
	0 "Necesita esperar {} segundos para usar los comandos"
	1 "Solo GameMaster puede usar este comando"
	2 "Solo GuildMaster puede usar este comando"
	3 "Comando deshabilitado"
	4 "No tienes suficiente Zen. Necesitas ({}) Zen"
	5 "Necesitas tener {} nivel para usar este cmd"
	6 "Ha excedido {} límite de nivel para usar este comando"
	7 "Necesitas tener {} Restablecer para usar este cmd"
	8 "Ha excedido {} Límite de restablecimiento para usar este comando"
	9 "Necesita tener MasterReset {} para usar este cmd"
	10 "Ha excedido {} MasterReset Limit para usar este comando"
	11 "Solo PkLevel {} puede usar este comando"
	12 "Ve a zona segura para usar este comando"
	13 "Necesitas {} WCCoins para usar este comando"
	14 "Necesitas {} WPCoins para usar este comando"
	15 "Necesitas {} GoblinPoints para usar este comando"
	16 "Esta clase no ha permitido usar este comando"
	17 "Comando ejecutado"
	18 "Personaje sin conexión"
	19 "¡El gremio no existía!"
	20 "Sintaxis de comando incorrecta"
	21 "Has cancelado {} Zen"
	22 "Has cancelado {} WCCoin(s)"
	23 "Has cancelado {} WPCoin(s)"
	24 "Has cancelado {} GoblinPoint(s)"
	25 "Perdes {} niveles tiene penalización"
	26 "Tu pierdes {} Resets tiene penalización"
	27 "Usted pierde {} MasterResets tiene penalización"
	28 "Has cancelado {} Ruuds"
	29 "Please Stop. Try lower number than {}"
//Marry System
	30 "Ya tienes otra propuesta de matrimonio"
	31 "No puedes casarte contigo mismo"
	32 "Ya estás casado"
	33 "Ya está casado"
	34 "¡Mapa incorrecto para casarse!"
	35 "Coordenadas X/Y incorrectas"
	36 "¡Personaje bloqueado para casarse en este momento!"
	37 "¡El matrimonio homosexual no está permitido en este servidor!"
	38 "No tienes ninguna propuesta de matrimonio para aceptar"
	39 "Tu pareja esta en un mapa que no tiene permitido el traceo"
	40 "El socio está desconectado"
	41 "No estás casado"
	42 "Casado con {} durante {} días"
	43 "Casarse Estado: Soltero"
	44 "Usted pidió casarse con {}"
	45 "{} propuso casarse contigo"
	46 "{} ahora están casados con {}"
	47 "Ahora estás divorciado"
	48 "Estado de matrimonio: Divorciado. ¡Bloqueado durante {} días!"
	49 "Casarse Estado: Divorciado"
	50	"No puedo mudarme allí sin Wings, Pet o Dinorant"
	51	"No puedes moverte ahora"
	52	"No cumples con los requisitos para moverte"
	53	"RESERVED"
	54	"RESERVED"
	55	"RESERVED"
//Añadir estadísticas
    56 "¡Este es un comando exclusivo para Dark Lord!"
    57 "No tienes suficientes puntos para sumar"
    58 "Has agregado {} puntos, te quedan {} puntos"
    59 "RESERVADO"
    60 "RESERVADO"
//PKBorrar
    61 "No eres PK"
    62 "Has borrado con éxito tu PK"
    63 "RESERVADO"
    64 "RESERVADO"
    65 "RESERVADO"
//Readd (Puntos de nivel)
    66 "¡Acción denegada! Volver más tarde"
    67 "Puntos de nivel restaurados"
//ReMaster
	68 "¡[ReMaster] MasterSkillTree reinicio exitoso!"
	69 "[ReMaster] Error al restablecer MasterSkillTree"
//Pet Helper
	70 "[Ayudante] No se puede usar en este mapa"
	71 "[Ayudante] creó {} x{} el {} {} {}"
//Hide
	72 "Ahora eres visible"
	73 "Ahora eres invisible"
//Clear Inventory
	74 "El inventario se borró con éxito"
//Make, Drop & MakeSet
	75 "Ha creado con éxito un elemento"
	76 "Ha creado con éxito un Conjunto"
//Evo
	77 "¡Acción denegada! Volver más tarde"
	78 "Utilice /cambie (dw, dk, elf, mg, dl, su)"
	79 "¡Debes elegir una raza diferente a la tuya!"
	80 "Debes eliminar todos tus elementos equipados"
//PVP
	81 "[DeshabilitarPVP] Deshabilitado"
	82 "[DeshabilitarPVP] Habilitado"
//Auto Party
	83 "Recepción de solicitudes: Activado"
	84 "Solicitar recibo: Deshabilitado"
	85 "Recepción de solicitudes: Automática"
//Reward & RewardAll
	86 "¡[{}] {} recibió {} WCCoin(s)!"
	87 "¡[{}] {} recibió {} WPCoin(s)!"
	88 "¡[{}] {} recibió {} GoblinPoint(s)!"
	89 "[{}] ¡Todos han ganado {} WCCoin(s)!"
	90 "[{}] ¡Todos han ganado {} WPCoin(s)!"
	91 "[{}] ¡Todos han ganado {} GoblinPoint(s)!"
//Rename System
	92 "¡Acción denegada! Volver más tarde"
	93 "No puedo cambiar el nombre del personaje siendo el maestro del gremio"
	94 "¡Comando no habilitado para su cuenta!"
	95 "El nombre debe tener un máximo de 10 letras"
	96 "¡El nuevo nombre contiene caracteres raros!"
	97 "¡El personaje {} cambió su nombre a {}!"
    98 "Debes esperar {} segundos para volver a cambiar tu nombre."
	99 "RESERVADO"
//Ban System
	100 "Comando fallido"
	101 "¡Prohibido con éxito!"
	102 "Administrador {} bloqueado {} por {} días"
	103 "Administrador {} cuenta prohibida {} por {} días"	
//Virtual Jewel Mix & UnMix
	104 "No tiene los elementos requeridos"
	105 "Paquete de joyas completado"
	106 "Desempaquetado de joyas completado"
	107 "No tiene la cantidad solicitada de joyas"
	108 "Comprueba el espacio para la joya Desempaquetar"
	109 "RESERVADO"
	110 "RESERVADO"
//Reset System
	111 "rango de restablecimiento: {}-{}"
	112 "Rango de reinicio maestro: {}-{}"
