//--------------------
// Blood Castle
//--------------------
0	"Blood Castle will close in {} minute(s)"
1	"Blood Castle has closed"
2	"Blood Castle {} will start in {} minute(s)"
3	"Blood Castle has begun"
4	"All monsters were defeated"
5	"All boss monsters were defeated"
6	"Blood Castle is over"
7	"You're not ready for Blood Castle {}"
8	"{} dropped the angel's weapon"
9	"{} took the angel's weapon"
10	"{} destroyed the castle gate"
11 	"{} destroyed the statue"
12	"Must wait after {} minutes left to close Blood Castle"
13	"Reserved 13"
14	"Reserved 14"
15	"Reserved 15"

//--------------------
// Chaos Castle
//--------------------
16	"Chaos Castle will close in {} minute(s)"
17	"Chaos Castle has closed"
18	"Chaos Castle {} will start in {} minute(s)"
19	"Chaos Castle has begun"
20	"Chaos Castle is over"

//--------------------
// RankingUser Settings.
//--------------------
32	"Free account"
33	"Bronze Account"
34	"Silver Account"
35 	"Gold Account" 

//--------------------
// PersonalStore New V11
//--------------------
60	"Must wait {} seconds before buy in this Store"

//--------------------
// Commands
//--------------------
62  "Pk has been cleaned correctly"
64 	"You do not have permission to use this command"
65 	"You need to be at least level {} to use /post"
66 	"You need to have at least {} resets to use /post"
67 	"You need to have at least {} zen to use /post"
68 	"You need to wait {} seconds to use /post"
69 	"[POST]{}"
70 	"You do not have permission to use /add"
71 	"Exclusive Dark Lord Command"
72 	"You don't have enough points to add"
73 	"You need to have at least {} zen to use /str, agi, vit, ene, com"
74 	"You have added {} points, you have {} points left."
75 	"You do not have permission to use /pk"
76 	"You are not PK"
77 	"You need to have at least {} zen to use /pk"
78 	"You have successfully cleared your PK"
79 	"You do not have permission to use this Command"
80 	"You have entered an invalid value to add"
81 	"You do not have permission to use /change"
82 	"You need to have at least {} zen to use /change"
83 	"You can't evolve anymore"
84 	"You have evolved successfully"
85 	"You do not have permission to use /trunk"
86 	"You cannot use /trunk at this time"
87 	"You have entered an invalid trunk to change"
88 	"You switched to the trunk {} successfully"
89 	"You do not have permission to use /reset"
90 	"You cannot use /reset at this time"
91 	"You need to be at least level {} to use /reset"
92 	"You need to have at least {} zen to use /reset"
93 	"You can't have more than {} resets"
94 	"You cannot reset with equipped items"
95 	"You have successfully reset, and now you have {} resets"
96 	"You do not have permission to use /gmmove"
97 	"You have entered an invalid command for /gmmove"
98 	"You do not have permission to use /gmpost"
99 	"You do not have permission to use /track"
100 "You have entered an invalid command for /track"
101 "You do not have permission to use /trace"
102 "You have entered an invalid command for /trace"
103 "You do not have permission to use /disconnect"
104 "You have entered an invalid command for /disconnect"
105 "You do not have permission to use /fireworks"
106 "You do not have permission to use /make"
107 "You have successfully created an item"
108 "You do not have permission to use /skin"
109 "You have entered an invalid command for /skin"
110 "You do not have permission to use /setmoney"
111 "You have entered an invalid command for /setmoney"
112 "You have entered an invalid value for /setmoney"
113 "You do not have permission to use /notice"
114 "Automatic point addition: On ( {})"
115 "Automatic Point Addition: Disabled"
116 "Auto Reset: On"
117 "Automatic Reset: Disabled"
118 "You do not have permission to use /mreset"
119 "You cannot use /mreset at this time"
120 "You need to have at least {} levels to use /mreset"
121 "You need to have at least {} resets to use /mreset"
122 "You need to have at least {} zen to use /mreset"
123 "You cannot have more than {} master resets"
124 "You cannot Master Reset with equipped items"
125 "You master has been successfully restored, and now has {} Master Resets"
126 "Receipt of applications: Activated"
127 "Request receipt: Disabled"
128 "Receipt of applications: Automatic"
129 "You can only reset {} times per day"
130 "You can only reset {} times a week"
131 "You can only reset {} times per month"
132 "You can only master reset {} times per day"
133 "You can only reset master {} times per week"
134 "You can only reset master {} times per month"
135 "You do not have permission to use /hide" 
136	"Reserved 136"
137	"Reserved 137"
138	"Reserved 138"
139	"Reserved 139"
140	"Reserved 140"
141	"Reserved 141"
142	"Reserved 142"
143	"Reserved 143"

//--------------------
//Devil Square
//--------------------
144	"Devil Square will close in {} minute(s)"
145	"Devil Square has closed"
146	"Devil Square {} will start in {} minute(s)"
147	"Devil Square has begun"
148	"Devil Square is over"
149	"You are to weak, to enter Devil Square {}!"
150	"Reserved 150"
151	"Reserved 151"
152	"Reserved 152"
153	"Reserved 153"
154	"Reserved 154"
155	"Reserved 155"
156	"Reserved 156"
157	"Reserved 157"
158	"Reserved 158"
159	"Reserved 159"

//--------------------
//Duel
//--------------------
160	"That character is not connected."
161	"You cannot duel right now."
162	"The character rejected your request automatically."
163	"You have already requested a duel."
164	"Someone has already requested a duel from that character."
165	"Cannot duel during Guild War."
166	"The other character is in a Guild War."
167	"Duel cannot be requested on this map."
168	"You cannot duel during Castle Siege."
169	"That character is not connected or does not exist."
170	"[SelfDefence] You cannot duel at this time"
171	"[SelfDefence] The other player is disabled."
172	"The player declined your duel request"
173	"All Arenas are full at the moment"
174	"A duel between {} and {} has started!"
175	"Player {} defeated {} in a duel!" 

//--------------------
//Illusion Temple
//--------------------
176	"Illusion Temple will close in {} minute(s)"
177	"Illusion Temple closed"
178	"Illusion Temple {} will start in {} minute(s)"
179	"Illusion Temple began"
180	"Illusion Temple is over"
181	"You are too weak to enter the Illusion Temple {}"
182	"You do not have the correct ticket to enter the Illusion Temple {}"
183	"Player {} dropped the artifact"
184	"Player {} has taken the artifact" 

//--------------------
// Invasiones
//--------------------
192	"Skeletong King Invasion!"
193	"Red Dragon Invasion!"
194	"Golden Dragon Invasion!"
195	"White Wizard  Invasion!"
196	"New Year Pounch Invasion!"
197	"White Rabbit Invasion!"
198	"Summer Event Started!"
199	"Cursed Santa Event Started!"
200	"Medusa Invasion!"
202	"{} defeated Skeleton King!"
203	"{} defeated Red Dragon!"
204	"{} defeated Golden Great Dragon!"
205	"{} defeated White Wizard!"
206	"{} defeated Cursed Santa!"
207	"{} defeated Medusa!"
208	"Moss Merchant is back!"
209	"Moss Merchant has departed!" 
210	"Cursed Demon Invasion!"
211	"Eggs Invasion!"
212 "Monsters {} / {} Killed"
213 "Reserved 213"
214	"Left {} Monsters."
215	"Reserved 215"
216	"Reserved 216"
217	"Reserved 217"
218	"Reserved 218"
219	"Reserved 219"
220	"Reserved 220"
221	"Reserved 221"
222	"Reserved 222"
223	"Reserved 223"

//--------------------
// Custom Moves
//--------------------
224	"You need to be level {} to move."
225	"You need at least {} zen to move."
226	"You can't move right now."
227	"You cannot move because you are PK."
228	"You need wings, fenrir or dinorant to move to that place."
229	"Only members of a Gens family can move."
230	"You must be level {} to enter that place."
231	"You must have {} resets to enter that place."
232	"Only players with less than {} resets can enter that place." 

//--------------------
//  Senior Castle Siege.
//--------------------
240	"[Senior] Castle Siege is not available!"
241	"[Senior] did not work during Castle Siege."
242	"[Senior] You do not belong to a guild registered with Castle Siege."
243	"[Senior] You must be the guild master to interact."
244	"[Guardsman] im out during Castle Siege." 

//--------------------
//  Informacion 1
//--------------------
245	"You already belong to a guild."
246	"You must be level {} to create a guild."
247	"This Shop is Disabled"
248	"Account level: Free"
249	"Account level: Bronze- Remaining days({})"
250	"Account level: Silver- Remaining days({})"
251	"Account level: Gold- Remaining days({})"
256	"Welcome {} Enjoy your stay"
257	"You need to be level 40 to use the ring."
258	"You need to be level 80 to use the ring."
259	"You cannot move to this map right now."
260	"This item does not belong to you!."
261	"You cannot exit, with the Trade open"
262	"You can't go out, with the Vault open"
263	"You can't go out, with the Chaos Machine open"
264	"You can't go out, with the Pet Trainer open"
265	"You can't go out, with active defense!"
266	"You are at the maximum level"
267	"You are at the maximum master level"
268	"You can only add {} points"
269	"You cannot speak for {} seconds"
270	"You can't send yourself a message"
