//==================================================================================================================================================================================
//-> Type 1  = Exp   - Index = monster
//-> Type 2  = Zen
//-> Type 4  = Item  - Index = item x 512
//==================================================================================================================================================================================
//Number   Type   Index   Quantity   Level   Option1   Option2   Option3   NewOption   DropMinLevel   DropMaxLevel   ItemDropRate   RequireIndex   RequireState   DW      DK      FE      MG      DL      SU      RF
//QUEST 1RA EVO
0          2      0       10000    	 0       0         0         0         0           *              *              *              0              0              1       1       1       0       0       1       0
0          2      0       10000    	 0       0         0         0         0           *              *              *              0              3              1       1       1       0       0       1       0
//===================================================================================================================================================================================================================
//Scroll of the Emperor
0          1      7191    1          0       0         0         0         0           45             60             600            0              1              1       1       1       0       0       1       0
//===================================================================================================================================================================================================================
0          2      0       20000    	 0       0         0         0         0           *              *              *              1              0              1       1       1       0       0       1       0
0          2      0       20000    	 0       0         0         0         0           *              *              *              1              3              1       1       1       0       0       1       0
//===================================================================================================================================================================================================================
//Broken Sword
0          1      7192    1          0       0         0         0         0           62             76             480            1              1              0       1       0       0       0       0       0
//===================================================================================================================================================================================================================
//Tear of Elf
0          1      7193    1          0       0         0         0         0           62             76             480            1              1              0       0       1       0       0       0       0
//===================================================================================================================================================================================================================
//Soul Shard of Wizard
0          1      7194    1          0       0         0         0         0           62             76             480            1              1              1       0       0       0       0       0       0
//===================================================================================================================================================================================================================
//Abyssal Eye
0          1      7236    1          0       0         0         0         0           62             76             480            1              1              0       0       0       0       0       1       0
//===================================================================================================================================================================================================================
0          2      0       30000    	 0       0         0         0         0           *              *              *              2              0              2       2       2       0       0       2       0
0          2      0       30000    	 0       0         0         0         0           *              *              *              2              3              2       2       2       0       0       2       0
//===================================================================================================================================================================================================================
//QUEST DEFAULT 220 LVL(MARLON)
//Ring Of Honor
0          1      7191    1          1       0         0         0         0           72             108            480            2              1              2       2       2       0       0       2       0
0          2      0       20000      0       0         0         0         0           *              *              *              3              0              0       2       0       0       0       0       0
0          2      0       20000      0       0         0         0         0           *              *              *              3              3              0       2       0       0       0       0       0
//===================================================================================================================================================================================================================
//Dark Stone
0          1      7192    1          1       0         0         0         0           72             108            480            3              1              0       2       0       0       0       0       0
//===================================================================================================================================================================================================================
//2DA EVO
0          2      0       50000      0       0         0         0         0           *              *              *              4              0              2       2       2       1       1       2       1
0          2      0       50000      0       0         0         0         0           *              *              *              4              3              2       2       2       1       1       2       1
//===================================================================================================================================================================================================================
//Death-beam Knight Flame
0          1      7233    1          0       0         0         0         0           *              63             650            4              1              2       2       2       1       1       2       1
//===================================================================================================================================================================================================================
//Hell-Miner Horn
1          1      7234    1          0       0         0         0         0           *              309            650            4              1              2       2       2       1       1       2       1
//===================================================================================================================================================================================================================
//Dark Phoenix Feather
2          1      7235    1          0       0         0         0         0           *              77             650            4              1              2       2       2       1       1       2       1
//===================================================================================================================================================================================================================
0          2      0       70000      0       0         0         0         0           *              *              *              5              0              2       2       2       1       1       2       1
0          2      0       70000      0       0         0         0         0           *              *              *              5              3              2       2       2       1       1       2       1
//===================================================================================================================================================================================================================
//MONSTERS REQUISITO A 2DA EVO
//===================================================================================================================================================================================================================
//Balram
0          4      409     20         0       0         0         0         0           *              *              *              5              1              2       2       2       1       1       2       1
//===================================================================================================================================================================================================================
//Death Spirit
1          4      410     20         0       0         0         0         0           *              *              *              5              1              2       2       2       1       1       2       1
//===================================================================================================================================================================================================================
//Soram
//===================================================================================================================================================================================================================
2          4      411     20         0       0         0         0         0           *              *              *              5              1              2       2       2       1       1       2       1
0          2      0       100000     0       0         0         0         0           *              *              *              6              0              2       2       2       1       1       2       1
0          2      0       100000     0       0         0         0         0           *              *              *              6              3              2       2       2       1       1       2       1
//===================================================================================================================================================================================================================
//Dark Elf
0          4      412     1          0       0         0         0         0           *              *              *              6              1              2       2       2       1       1       2       1
end
