//==================================================================================================================================================================================
//-> Type 1  = Exp   - Index = monster
//-> Type 2  = Zen
//-> Type 4  = Item  - Index = item x 512
//-> Type 16 = Contribucion
//==================================================================================================================================================================================================================================================
//Num	Type	Index	Quant	Level	Opt1	Opt2	Opt3	NewOpt	MapNum	MonsterClass	MonsterLvlMin	MonsterLvlMax	DropRate	RequireIndex	RequireGroup	RequireState	DW	DK	FE	MG	DL	SU	RF 
//==================================================================================================================================================================================================================================================
0		16		0		1		0		0		0		0		0		0		0				0				-1				0			9					1				1			1	1	1	0	0	1	0
0		16		0		1		0		0		0		0		0		0		0				0				-1				0			15					1				1			1	1	1	0	0	1	0
0		4		7168	5		0		0		0		0		0		0		0				0				-1				0			20					1				1			1	1	1	0	0	1	0
0		1		27		3		0		0		0		0		0		0		0				0				-1				0			23					1				1			0	0	1	0	0	0	0
0		1		2		3		0		0		0		0		0		0		0				0				-1				0			24					1				1			1	1	0	0	0	0	0
0		1		418		3		0		0		0		0		0		0		0				0				-1				0			25					1				1			0	0	0	0	0	1	0
0		4		7178	1		0		0		0		0		0		0		0				0				-1				0			29					1				1			1	1	1	0	0	1	0
0		32		3		1		0		0		0		0		0		0		0				0				-1				0			31					1				1			1	1	1	0	0	0	0
0		1		28		30		0		0		0		0		0		0		0				0				-1				0			33					1				1			0	0	1	0	0	0	0
0		1		1		30		0		0		0		0		0		0		0				0				-1				0			34					1				1			1	1	0	0	0	0	0
0		1		419		30		0		0		0		0		0		0		0				0				-1				0			35					1				1			0	0	0	0	0	1	0

//QUEST EXPASION INVENTARIO/BAUL
//==================================================================================================================================================================================================================================================
//Num	Type	Index	Quant	Level	Opt1	Opt2	Opt3	NewOpt	MapNum	MonsterClass	MonsterLvlMin	MonsterLvlMax	DropRate	RequireIndex	RequireGroup	RequireState	DW	DK	FE	MG	DL	SU	RF 
//==================================================================================================================================================================================================================================================
0		4		7332	1		0		0		0		0		0		4		40				0				-1				500		    4					7				1			1	1	1	1	1	1	1
0		4		7333	1		0		0		0		0		0		7		52				0				-1				500		    9					7				1			1	1	1	1	1	1	1
0		4		7334	1		0		0		0		0		0		10		69				0				-1				500		    14					7				1			1	1	1	1	1	1	1

//==================================================================================================================================================================================================================================================
//Num	Type	Index	Quant	Level	Opt1	Opt2	Opt3	NewOpt	MapNum	MonsterClass	MonsterLvlMin	MonsterLvlMax	DropRate	RequireIndex	RequireGroup	RequireState	DW	DK	FE	MG	DL	SU	RF 
//==================================================================================================================================================================================================================================================
0		1		46		50		0		0		0		0		0		0		0				0				-1				0			1					16				1			1	1	1	1	1	1	1
0		1		308		50		0		0		0		0		0		0		0				0				-1				0			4					16				1			1	1	1	1	1	1	1
0		1		351		50		0		0		0		0		0		0		0				0				-1				0			7					16				1			1	1	1	1	1	1	1
0		1		486		50		0		0		0		0		0		0		0				0				-1				0			10					16				1			1	1	1	1	1	1	1
0		1		442		50		0		0		0		0		0		0		0				0				-1				0			13					16				1			1	1	1	1	1	1	1

//==================================================================================================================================================================================================================================================
//Num	Type	Index	Quant	Level	Opt1	Opt2	Opt3	NewOpt	MapNum	MonsterClass	MonsterLvlMin	MonsterLvlMax	DropRate	RequireIndex	RequireGroup	RequireState	DW	DK	FE	MG	DL	SU	RF 
//==================================================================================================================================================================================================================================================
0		1		52 		50		0		0		0		0		0		0		0				0				-1				0			1					17				1			1	1	1	1	1	1	1
0		1		306		50		0		0		0		0		0		0		0				0				-1				0			4					17				1			1	1	1	1	1	1	1
0		1		352		50		0		0		0		0		0		0		0				0				-1				0			7					17				1			1	1	1	1	1	1	1
0		1		489		50		0		0		0		0		0		0		0				0				-1				0			10					17				1			1	1	1	1	1	1	1
0		1		448		50		0		0		0		0		0		0		0				0				-1				0			13					17				1			1	1	1	1	1	1	1

//==================================================================================================================================================================================================================================================
//Num	Type	Index	Quant	Level	Opt1	Opt2	Opt3	NewOpt	MapNum	MonsterClass	MonsterLvlMin	MonsterLvlMax	DropRate	RequireIndex	RequireGroup	RequireState	DW	DK	FE	MG	DL	SU	RF 
//==================================================================================================================================================================================================================================================
